Formula,T,Seebeck,s,k,ZT
(PbTe)0.15(Ag2Te)0.85,600,-191.2,17800,0.493,0.792
Ba7.97Ga15.95Sn30.05,300,315.4,14140,0.987,0.427
Mg2Sn0.995Sb0.005,444,-170.09,138596,4.076,0.437
Co0.95Ni0.05GeTe,394,-54.89,158995,5.649,0.033
Ag0.8Sb0.8Pb18.3Te20.0,623,-260,16000,0.72,0.936
Sn1.03Se0.15Te0.85,523,48.72,242609,3.528,0.085
CuAgTe0.6Se0.4,443,232.07,6386,0.36,0.424
Mg2.9875Na0.0125Sb2,573,152,28300,1.11,0.338
Cu2Se0.92S0.08,303,97.7,103086,0.73,0.408
Ag2Te,500,-117.74,51066,0.576,0.614
ZrNiSn,573,-152.1,58897,3.573,0.219
Sn0.9Pb0.09Zn0.01Se,373,542.2,280,0.977,0.031
Bi0.8Ba0.2CuSeO,623,202.47,11731,0.709,0.539
Ag2Se1.03,310,-143.2,108700,0.988,0.699
Eu2Zn0.96Sb2,473,160,20850,0.497,0.508
Mg1.98Li0.02Zn0.98Sb2,473,110.58,67302,1.058,0.368
Ba8Cu5Si25Ge16,465,-75.5,100000,1.87,0.142
BaBiTe2.95Se0.05,474,-185.3,7830,0.414,0.308
YbCd1.5Zn0.5Sb2,450,149,73113,1.42,0.57
Yb13CaMnSb11,373,61.94,43100,0.789,0.069
Bi1.9Nb0.1Te3,478,-117.7,60000,0.762,0.522
(CuI)0.003Bi2Te3,371,-165.74,109029,1.356,0.82
Cu7P(S0.25Se0.75)6,673,238,5140,0.311,0.63
Ba8.01Ga15.88Zn0.009Sn30.11,500,450.7,5876,0.855,0.698
Cu11.9Gd0.1Sb4S13,724,138.5,64592,1.368,0.656
As2Te1.5Se1.5,423,589.8,21.84,0.328,0.01
GeSe0.8Te0.2,728,68.84,57090,1.791,0.11
Nb0.9Ta0.1CoSn0.9Sb0.1,826,-163.05,90496,4.206,0.472
Ge0.83In0.05Pb0.12Te,525,239,25109,1.02,0.738
BiCuSeO,347,127.63,6575,0.602,0.062
Cu7P(S0.6Se0.4)6,523,275.5,1990,0.225,0.351
Mg3.07Sb1.5Bi0.47Se0.03,500,-301.52,10459,0.706,0.674
TiZr0.015NiSn,626,-207.94,69147,2.465,0.778
Cu2S0.5Se0.5,375,215.7,1490,0.544,0.048
FeNb0.9Zr0.1Sb,500,157.5,244186,9.559,0.317
Ca9Yb2Sb9Ge,419,-3.56,12371,0.788,0
K8Al8Ge38,250,-27,41400,1.191,0.006
Ba1.4Bi0.6CoRuO6,418,143.3,21940,1.168,0.161
Ag0.02Cr1.98Se3,725,157.2,23300,1.649,0.253
Tb0.03Co4Sb12,300,-242,36600,4.6,0.1
Sr0.21Yb0.03Co4Sb12.12,850,-183,173636,3.7,1.336
ZrNiPb0.995Bi0.005,303,-169,130250,9.738,0.116
Cu2Se0.92I0.08,425,197.5,9940,0.522,0.316
Cu12Sb4S13,724,136.94,63403,1.359,0.634
Ba0.98K0.02Zn2As2,723,148,50000,1.666,0.475
Ba0.08Yb0.09Co4Sb12,600,-175.5,138000,2.45,1.03
Ag0.94CuSe,391,-14.65,59903,1.881,0.003
YbCd1.5Zn0.5Sb2,650,175.3,57600,1.14,1.13
Mg2Zn0.96Sb2,373,289.47,3411,0.629,0.169
Li2Ge11Sb2Te15,573,170,115000,1.848,1.036
Co9S8,107,-4.7,6740000,20.27,0.001
CsNd2Ag3Te5,539,147.25,389.6,0.311,0.015
GeTe,425,44,460000,5.552,0.068
Cu1.7Se,672,60.4,287838,4.41,0.16
Yb14MgSb11,1000,224,12800,0.703,0.912
Ag0.01Sn0.99Se0.85S0.15,567,426.07,458,0.141,0.334
Sr0.16Yb0.03Co4Sb11.82,800,-188,155909,3.5,1.26
Rb2Bi8Se12.9935,330,-220,8485,0.712,0.19
SnS0.94Se0.06,723,370,9400,1.03,0.903
(Zn0.9In0.1)4Sb3,473,202,13120,0.814,0.311
Ca0.25BaGd1.75NiO5,891,141.91,345.04,1.314,0.005
Ag0.01Cr1.99Se3,300,88.86,39607,1.635,0.057
Mg3.5Ho0.02Sb2,700,-333.57,6819,0.717,0.741
Ca3.2Yb1.65Pr0.15Al2Sb6,723,55.4,4200,1.492,0.006
Er0.02(Bi0.23Sb0.77)1.98Te3,350,236.15,49561,0.801,1.208
Rb2Bi8Se12.9805Cl0.0195,428,-131.82,14485,0.705,0.153
YbCd1.8Zn0.2Sb4,550,182.45,45691,1.374,0.609
Ti0.95Mn0.05NiSn0.95Sb0.05,598,-140.87,197351,5.855,0.4
Mg3.5Gd0.03Sb2,500,-254.23,16667,0.86,0.626
Sn0.98In0.02Se,673,461,195,0.63,0.046
Ag(Bi0.8Nb0.2)0.7Sb0.3Se2,576,-229,5754,0.579,0.3
Sn0.87Mn0.1Bi0.03Te,373,64,240000,4.075,0.09
Ba0.38Co4Sb11.74,300,-70,393900,2.4,0.1
Sr0.11Ba0.18Co4Sb12.09,700,-154,231818,3.87,0.994
AgBiSe2,550,460.94,405,0.483,0.107
Bi0.48Sb1.52Te3,350,239.59,50000,1.222,0.822
Mg1.98K0.02Zn0.98Sb2,573,233.86,8254,0.668,0.387
YbCd2Sb2,450,125.5,89080,1.448,0.436
Yb8Ca5BaMgSb11,1100,222,11320,0.643,0.954
Sr0.40Co4Sb12.54,850,-123,206000,0.6,0.7
K0.985Ba0.015GaSb4,416,-184,24338,0.957,0.358
Sn1.03Se0.08Te0.92,323,12.63,557018,6.308,0.005
MgAgSb0.99In0.01,500,202.73,57455,1.151,1.026
NbCo0.95Pt0.05Sn,319,-123.2,135870,4.65,0.13
Mg3.5Ho0.04Sb2,600,-292.55,12029,0.825,0.749
ZrNiPb0.92Sn0.6Bi0.02,475,-126.9,276964,5.837,0.363
Cu2.025Cd0.975SnSe4,650,200,6448,0.854,0.196
Ag0.4Sb1.1Pb19.6Te18.8,523,-68.8,17450,1.378,0.031
Ba8.02Cu4.98Si35Ge5.99,665,-90,95350,2.253,0.239
(Sn0.8Ge0.2)0.82Mn0.18Te,673,126,108900,1.54,0.756
Dy0.02Co4Sb12,550,-303,22600,3.4,0.3
Yb14MgSb11,700,157.4,17800,0.771,0.4
Tl9.0Bi0.95Te6.0,385,157.7,30000,0.55,0.522
Li0.03Cu1.81Bi0.04Se,606,107.7,70115,1.428,0.345
Pb0.98Tl0.01Na0.01Te,497,193.14,55674,1.563,0.661
Sn1.03Se0.12Te0.87Br0.01,623,103.08,200000,2.509,0.453
Ca3Al0.95Zn0.05Sb3,822,275.8,4130,0.66,0.391
Sb2Si2Te6,773,222.28,12361,0.419,1.127
FeVSb,600,-235,52100,6.5,0.277
Bi2.0S2.79Se0.21,423,-529.7,379,0.608,0.074
Cu0.995Pd0.005FeS2,70,-487,264.2,29.43,0
Ag8Sn0.7Ga0.3Se6,313,-549.53,33,0.216,0.014
Zn0.9Cd0.1Sc0.04O1.06,300,-84.3,46667,8,0.012
Ca14MgSb11,500,123,4150,0.632,0.492
La0.1Ca0.9TiO3,538,-129.4,26340,3.5,0.068
Ca3Co2O6,773,146,4570,4.64,0.016
Ag0.03Cu1.945S0.5Se0.5,673,202.13,26176,0.817,0.7
Bi0.94Ag0.06CuSeO,673,322.3,1934,0.487,0.278
Cu2.94Ag0.06SbSe4,348,428,5714,1.85,0.197
Mg0.95Li0.05Ge0.9Si0.1,500,293.3,11700,3.031,0.166
Ba1.9Bi0.1CoRuO6,318,65.4,28500,1.444,0.027
Ca3Co3.8Ti0.2O9,300,149,4967,2.49,0.013
Y0.2Bi1.8Te3,498,-152.33,59045,0.829,0.827
Ta0.98Ti0.02FeSb,670,278,40700,5.593,0.375
Zn0.9Cd0.1Sc0.01O1.015,673,-112,44400,4.394,0.085
Ca5Ga1.95Zn0.05Sb6,724,175.6,15320,0.914,0.374
Cu11.6Gd0.4Sb4S13,625,118.13,86315,1.394,0.54
Tl9.0Sb0.97Te6,327,104,50000,0.73,0.242
Zn0.9Cd0.1Sc0.01O1.015,773,-120.5,40400,4,0.113
Sr0.21Yb0.03Co4Sb12.12,300,-109,342273,4.23,0.288
Cu1.85Ag0.15SnSe3,600,342.42,1316,0.41,0.226
Bi0.96Pb0.02Yb0.02CuSeO,640,189.47,13061,0.584,0.514
NbCo0.96Ni0.04Sn,704,-164.41,72189,7.262,0.189
Mg2Cu3In3Te8,720,276,6965,1.197,0.319
Ce0.75Fe3CoSb12,513,88.6,110244,6.459,0.069
Mg0.97Li0.03Ge0.9Si0.1,400,216.78,33154,3.805,0.164
La0.2Ca0.8TiO3,432,-72,192473,3.776,0.114
Tl9.0Bi0.97Te6.0,443,195,22000,0.474,0.782
EuZn2Sb2,600,177,65385,1.49,0.825
Cu10.5Ni1.5Sb4S13,323,136.4,16380,0.632,0.156
SnS0.97Se0.03,423,252.8,41300,2.19,0.508
Mg3Sb1.8Bi0.2,750,409,2500,0.55,0.57
Cu2.1Se,870,147.52,81081,1.775,0.865
CaTiO3,1016,-369,1400,2.75,0.07
Sr0.21Yb0.03Co4Sb12.12,700,-170,194091,3.6,1.091
Ti0.97Al0.03O2,296,-322.67,2077,5.812,0.011
Ga0.03Co4Sb11.985Ga0.015,600,-323,11700,2.3,0.3
(Cu0.003Pb0.997Te)(MnTe)0.03,723,-171.05,65655,1.371,1.013
Zn0.9Cd0.1Sc0.04O1.06,773,-131.3,31000,3.955,0.104
Cu3ErTe3,800,101,46667,0.7,0.544
Mg2Cu3In3Te8,335,311.3,1483,3.577,0.013
Ag0.01Sn0.99Se0.9S0.1,418,347.44,1108,0.263,0.213
Mo3Sb7I,623,42.49,460700,6.197,0.086
CuAgTe0.6Se0.4,383,220.92,8060,0.32,0.471
Ta0.92Ti0.08FeSb,970,258,69750,3.95,1.14
Cu2Se0.92I0.08,365,154.8,10657,0.248,0.376
Mg2.975Na0.025Sb2,673,142,33500,1.21,0.376
SnSe0.9S0.1,300,186.08,530,1.416,0.004
Ca3Co3.9Ti0.1O9,1000,213.6,7100,2.034,0.159
"(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7
)",753,143.6,55140,1.189,0.72
AgSn15.0BiTe17.0,500,123,121153,2.09,0.438
CoSb3.0,323,-224,3571,6.9,0.008
LiCo0.98Ni0.02O2,323,342.07,0,2.25,0
Sn0.8Ge0.2Te,473,53.7,329200,4.719,0.095
YbCd1.9Zn0.1Sb2,650,182,41600,1.312,0.683
Hf0.5Ti0.5CoSb0.8Sn0.2,779,238.5,37900,2.465,0.685
GeSe0.75Te0.25,630,35.69,60821,1.524,0.032
Ca5Ga1.7Zn0.3Sb6,425,70,56499,1.677,0.07
Cu2Se,550,125.66,64231,1.13,0.494
Cu26V2Ge3Sb3S32,594,185.65,29781,1.045,0.583
Pb0.99Na0.01Te,696,261.76,33630,1.039,1.544
Yb14MnSb11,525,84,35500,1.06,0.124
AgBi0.9Sb0.1Se2,400,460.94,26.6,0.399,0.006
Tl8.98Sb1.02Te6,385,140,34220,0.54,0.478
Eu(Zn0.7Cd0.3)2Sb2,300,148,57000,1.838,0.204
Mo3Sb7I1.5,823,42.6,343854,5.785,0.088
Ag0.03Cr1.97Se3,405,114,34821,1.514,0.124
Cu2SnSe3,423,100.85,12245,2.046,0.026
Ba2CoRuO6,418,26,102900,1.462,0.02
Ag2Se1.04,377,-137.02,131311,1.114,0.834
Mg3.5Gd0.02Sb2,700,-318.66,7279,0.691,0.748
Zn0.85Cd0.15Sc0.02O1.03,1173,-133,12500,3.15,0.082
Ag3.5Mo9Se11,743,138.6,32300,1.1,0.419
Zn0.9Cd0.1Sc0.04O1.06,973,-151,25520,3.25,0.174
Ba8.01Ga15.88Zn0.009Sn30.11,300,368.9,7591,0.948,0.327
Ba0.16Co4Sb11.85,850,-190,113000,2.5,0.8
Cu1.5S,350,13.87,570952,4.36,0.009
In0.005Pb0.995Te0.999I0.001,585,-269,13050,1.35,0.405
(Zn0.98In0.02)4Sb3,373,136.2,34540,0.824,0.29
Ag(Bi0.85Pb0.15)0.9Sb0.1Se2,478,437.5,500,0.508,0.09
Mg3.07Sb1.5Bi0.48Se0.02,500,-298.26,11689,0.707,0.735
Ag0.96Nb0.04BiSe2.0,296,-85,22100,0.72,0.066
GeSe0.85Te0.15,530,28.21,59328,1.718,0.015
Rb2Bi8Se12.909,724,-194.2,9120,0.625,0.398
Cu2Se0.92I0.08,359,191,8986,0.14,0.841
Ba8.04Cu4.99Si18Ge22.98,615,-160,25000,1.526,0.257
Zn2Cu3In3Te8,572,190,13482,1.613,0.173
Pb6Bi2Se9,323,-75,33154,1.125,0.054
Rb7.88Au2.47Ge43.53,200,-9.37,388.47,1.769,0
Cu1.875Ag0.125SnSe3,400,196.43,2571,0.778,0.051
S0.05Pd0.15Co3.85Sb12.03,300,-226,58000,3.4,0.2
Cu11.8Gd0.2Sb4S13,625,115.7,90019,1.444,0.522
Sn0.91Mn0.09Te0.98I0.02,622,133.51,103077,2.28,0.501
AgBi0.97Pb0.03Se2.12,300,421.85,930,0.517,0.096
Cu1.97In0.03Se,672,205.97,26174,0.813,0.927
Mg3.5Ho0.04Sb1.97Te0.03,400,-210.92,24310,0.992,0.436
Ag(Bi0.8Pb0.2)0.7Sb0.3Se2,478,291.8,1778,2.342,0.031
Li0.03Cu1.85Se,603,51.58,232692,2.627,0.142
CoAsSb,500,-130.82,34704,3.034,0.098
Cu22Sn10S32,400,57.03,195652,3.03,0.084
AgBiSe2.0,478,-188,5664,0.635,0.151
BiCu0.975SeO,323,167.59,2330,0.787,0.027
Cu7P(S0.55Se0.45)6,673,271.5,2300,0.215,0.531
GeSe,673,688.4,114.98,0.985,0.037
Eu2Zn0.98Sb2,623,233,10646,0.435,0.828
(CaZn0.4Ag0.2Sb)0.87(LiZnSb)0.13,673,193.4,20251,0.548,0.93
AgMo6Te8,500,13.7,168000,3.99,0.004
Cu1.85Ag0.15SnSe3,300,249,1070,0.984,0.02
Gd2Se2.92,850,-157.97,15031,1.022,0.312
Cu1.95In0.05Se,572,271.64,6757,1.7,0.198
CsSm2Ag3Te5,385,58.8,88.24,0.607,0
Cu1.875Ag0.125SnSe3,700,312.24,2847,0.419,0.464
Cu2Se0.98S0.02,353,102.63,98235,0.742,0.492
Cu2Se0.96S0.04,550,153.29,43490,0.88,0.639
(PbTe)(MnTe)0.03,773,-252.98,22069,1.125,0.97
Sn0.8Ge0.2Te,373,44.7,410900,4.84,0.065
Cu2Se0.5S0.5,333,46.04,131429,1.189,0.078
MgAgSb0.995In0.005,350,179.5,48545,1.095,0.516
Bi1.2Sb0.8Se2.76Cl0.24,500,-143,23923,0.65,0.376
Bi2Si2Te6,373,119.15,12037,0.849,0.075
Cu5SnSbSe7,673,64.83,242609,3.802,0.18
Co0.97Ni0.03GeTe,776,-104.26,80585,4.473,0.152
CuAgTe0.7Se0.3,443,246.2,6675,0.31,0.579
In4Se2.67Cl0.03,523,-164.8,40910,0.661,0.879
EuCd2Sb2,400,267,9260,1.08,0.244
Bi0.96Pb0.04CuSeO,150,94.33,100000,2.051,0.065
Sn0.965Pb0.01Cd0.025Se,823,298.34,7603,0.425,1.311
(SnTe)8Sb2Te3,623,170.9,77100,1.65,0.85
In3.99Pb0.01Se3,405,-221,10700,0.97,0.218
GeSe,424,737.68,15.52,2.01,0.002
Tl2GeTe3,473,234.5,3030,0.27,0.292
TiZr0.025NiSn,630,-193.28,65846,2.689,0.587
Sn1.03Se0.12Te0.88,623,88.2,150000,2.887,0.252
Cu22Sn9SbS32,500,109.51,73711,1.929,0.229
Ca3Al0.95Zn0.05Sb3,722,272,4283,0.718,0.294
Cu3Sb0.997In0.003Se4,573,288.4,8410,1.115,0.364
Pb0.99Tl0.01Te,497,217.53,36622,1.461,0.589
Ag2.0Se0.5Te0.5,300,-90.7,61743,0.61,0.25
Cu26V2Ge5SbS32,309,39.9,334375,3.648,0.045
CrO0.09N0.9,275,-46.4,33713,2.681,0.007
Rb2Bi8Se12.909,823,-185,11200,0.62,0.509
Ag1.3Sb0.9Pb15.7Te22.0,373,448.78,940.25,1.044,0.04
Cu2Se0.98S0.02,750,205.97,27926,0.822,1.081
Ti0.98Mn0.02NiSn0.98Sb0.02,297,-107.68,162252,6.128,0.091
Cu2Zn0.6Fe0.4SnSe4,773,281.5,3670,0.854,0.263
Cu12Sb4S13,625,112.69,83333,1.515,0.437
FeNb0.92Ti0.08Sb,500,168,200000,9.4,0.3
NbCo0.9Ni0.1Sn,600,-170.59,78333,7.274,0.188
TmCuTe2,320,73.7,95941,1.577,0.106
Cu2Se0.94S0.06,333,102.63,102454,0.732,0.491
Cu11ZnSb4S13,322,130.6,9622,0.43,0.123
Mg3.5Gd0.045Sb2,300,-196.43,23049,1.207,0.221
In0.015Pb0.985Te0.994I0.006,533,-220.1,24200,1.44,0.437
Tl8.97Sb1.03Te6,385.5,148.3,33000,0.58,0.475
Al0.01Ge0.99Te,373,43.93,539286,6.273,0.062
Cu1.97In0.03Se,295,95.6,107383,0.862,0.336
Bi1.2Sb0.8Se2.76Cl0.24,300,-89,39724,0.72,0.131
Mo3Sb7I1.5,523,21.1,422000,5.13,0.019
LaCo0.95Ni0.05O3,300,302.4,1496,0.551,0.072
Cu26Ti2Sb3Ge3S32,596,123.2,89063,1.583,0.493
FeNb0.92Hf0.08Sb,500,167,214728,6.84,0.438
CrO0.09N0.9,200,-52.3,29773,4.594,0.004
Ge0.58Sb0.22Te0.8(AgSnSe2)0.2,623,208.1,35500,0.71,1.366
CaZn0.4Ag0.2Sb,573,111.3,57522,1.01,0.404
Rb2Bi8Se12.961,428,-218.5,8480,0.587,0.295
Tl9.0Bi0.99Te6.0,385,209,18400,0.455,0.68
Ge0.55Pb0.45Te0.3Se0.7,569,299.38,4911,0.636,0.484
GeSe0.6Te0.4,776,132.78,101866,2.125,0.656
Cu2ZnSn0.95Ag0.05Se4,473,50.7,198718,3.117,0.078
Li0.03Cu1.8Bi0.05Se,761,135.5,45455,0.964,0.659
(Sn0.985In0.015Te)0.9(AgCl)0.1,623,96.67,231461,3,0.449
Rb2Bi8Se12.9909Cl0.0091,823,-191.2,8750,0.53,0.497
Mg3.5Gd0.03Sb2,300,-197.5,19493,1.082,0.211
FeNb0.86Hf0.14Sb,300,84.47,668992,7.339,0.195
Nd3Te4,1073,-78.1,144600,3.022,0.313
In0.005Pb0.995Te0.994I0.006,533,-164,55300,1.593,0.498
Cu2ZnSnSe4,373,116.62,19531,3.988,0.025
Ag1.2Sb0.8Pb14.9Te22.7,473,344,1547,1.05,0.082
Ag0.94CuSe,625,212.1,17589,0.593,0.834
AgBi0.95Pb0.05Se2.12,350,334,4265,0.588,0.283
Cu3P0.6Ge0.4S4,500,82,73200,1.52,0.162
SnTe0.25AgSbSe2,600,132.2,77181,1.608,0.503
Tl8.99Sb1.01Te6,326,107,53300,0.71,0.28
In0.005Pb0.995Te0.996I0.004,481,-207.4,37350,1.636,0.472
Cu1.95In0.05Se,870,328.71,2023,1.938,0.194
(SnTe)0.96(CuSbTe2)0.04,818,164.2,93249,2.137,0.963
Bi0.8Pb0.1Yb0.1CuSeO,543,121.71,20000,0.629,0.256
(PbTe)0.15(Ag2Te)0.85,350,-104.29,79473,0.85,0.549
AgCuTe0.6Se0.4,422,217.5,8835,0.305,0.671
GeSe0.75Te0.25,678,39.05,72388,1.685,0.044
Cu2.9Ag0.1ErTe3,700,85,72000,0.68,0.536
Ag2Te,550,-119.7,46550,0.601,0.615
Ca0.15BaGd1.85NiO5,1000,173.53,425.07,1.664,0.008
Bi0.98Pb0.02CuSeO,50,39.69,120913,3.911,0.002
Cu1.95S0.5Se0.5,375,71.92,31634,1.009,0.061
BiSb(Se0.96Br0.04)3,500,-169,16436,0.55,0.427
Mg3.5Gd0.03Sb1.97Te0.03,400,-223.93,19198,0.874,0.441
Ba8.02Cu5.04Si6Ge34.93,766,-134.33,44660,1.371,0.45
Cu3Sb0.9Ge0.1S4,373,172.2,25800,1.703,0.168
Ba0.44Co4Sb11.90,300,-68,637800,2.8,0.1
FeNb0.92Zr0.08Sb,500,174.5,196124,9.525,0.313
Mg2Zn0.96Sb2,773,160.26,20921,0.961,0.432
Ge0.55Pb0.45Te0.2Se0.8,300,384.38,2850,0.805,0.01
Li0.01Cu1.85Se,603,45.71,290385,3.546,0.103
Dy0.02Co4Sb12,800,-131,32300,3.9,0.1
Cu2ZnSn0.95Ag0.05Se4,673,77,133700,2.134,0.255
Ge0.58Sb0.22Te0.8(AgSnSe2)0.2,323,151.6,43900,0.74,0.44
Nb0.85Ta0.15CoSn0.9Sb0.1,338,-103.27,125957,4.979,0.091
(Bi0.23Sb0.77)2Te3,300,229,54942,0.885,0.977
CuAgTe0.6Se0.4,422,231.52,6783,0.348,0.441
Sn0.965Pb0.01Cd0.025Se,423,347.7,3587,0.696,0.264
Co4Sb11.95Te0.05,850,-218,22200,4.6,0.2
Hf0.9Ti0.1CoSb0.8Sn0.2,1088,212,55035,3.31,0.819
Cu2.1Se,770,126.73,104054,2.025,0.635
Cu3.0SbSe4,473,409,3227,1.37,0.186
Ba8Cu5Si25Ge16,760,-111,68550,1.924,0.332
Cu2Se0.5S0.5,426,52.97,148286,1.616,0.11
Cu3SbSe4,323,387,2310,2.796,0.04
CaZn0.4Ag0.2Sb,472,93.36,77844,1.143,0.28
Ag3.4Mo9Se11,350,71,58000,1.26,0.08
K0.995Ba0.005GaSb4,602,-292.86,7053,0.556,0.655
La2.0Co4Sb12,373,-15.4,358974,2.52,0.013
Ag3.5Mo9Se11,645,123.7,36400,1.124,0.32
Ca3AlSb3,722,419,500,0.67,0.091
Cu3ErTe3,400,48.6,244890,2.38,0.097
Mg3.5Ho0.01Sb1.97Te0.03,600,-281.91,12875,0.789,0.778
Cu2.025Cd0.975SnSe4,350,176.3,5862,2.236,0.029
Cu1.55S,350,13.6,536538,3.908,0.009
(Cu0.004Pb0.996Te)(MnTe)0.03,773,-173.68,60276,1.443,0.974
Ag0.4Sb1.1Pb19.6Te18.8,423,-1,16247,1.555,0
YbCd1.8Zn0.2Sb2,350,133.74,64873,1.844,0.22
Y0.2Bi1.8Te3,423,-147.4,72086,0.58,1.142
NbCo0.92Ni0.08Sn,704,-116.47,111395,6.774,0.157
Cu1.99In0.01Se,870,245.5,20970,0.775,1.445
Ta0.96Ti0.04FeSb,570,245.6,67300,5.195,0.45
Mg2Zn1.02Sb2,673,88.74,7152,1.001,0.038
Tl9.0Sb0.98Te6,503,177,27100,0.537,0.795
EuZn2Sb2,650,181.2,59000,1.417,0.889
GeSe0.65Te0.35,728,112.47,93657,1.981,0.435
(GeTe)0.7(AgSnSe2)0.3,523,44.1,61935,1.385,0.045
Nb0.85Ta0.15CoSn0.9Sb0.1,728,-154.1,93617,4.263,0.38
Ta0.96Ti0.04FeSb,670,262.7,56925,4.82,0.546
Ba8.01Ga15.89Zn0.006Sn30.1,420,382.8,11985,0.877,0.841
(GeTe)0.9(AgSnSe2)0.1,623,63.35,236129,3.192,0.185
Ge0.99Mn0.01Te,498,63.23,300000,4.406,0.136
Cu7P(S0.75Se0.25)6,325,402.96,16.44,0.239,0.004
Sm0.2Bi1.8Te3,373,-142.6,74600,0.734,0.766
Ti0.95Al0.05O2,296,-238.95,2104,5.67,0.006
Bi0.95Ba0.05CuSeO,825,289.5,3930,0.6,0.453
(Cu3SnS4)0.915(Ga2Te3)0.085,554,84.85,131670,3.181,0.165
Ba0.03Co4Sb12,800,-161.4,37234,3.83,0.204
Sr0.16Yb0.03Co4Sb11.82,300,-116,296818,4.05,0.296
(SnTe)10Sb2Te3,723,177.9,77080,1.66,1.062
Yb13CaMnSb11,773,153.83,25000,0.877,0.468
FeNb0.88Ti0.12Sb,700,182,130000,6.5,0.464
Zn0.85Cd0.15Sc0.02O1.03,473,-70,20000,5.75,0.008
Ba2CoRuO6,518,17,223000,1.455,0.023
TaFeSb,870,114.3,4155,4.644,0.01
Bi0.96Ag0.04CuSeO,623,288.4,1947,0.52,0.194
Yb7Ca6BaMgSb11,300,59.94,10942,0.528,0.022
(Sn0.985In0.015Te)0.95(AgCl)0.05,523,76.64,371910,4.697,0.243
(Cu0.002Pb0.998Te)(MnTe)0.03,423,-207.72,62069,1.608,0.705
Cu0.99Pd0.01FeS2,200,-345,5425,12.84,0.01
Cu11.7Gd0.3Sb4S13,723,144.1,73220,1.33,0.833
Bi1.9Nb0.1Te3,366,-106.3,64902,0.803,0.334
AgBiSe2.0,625,-236,4000,0.443,0.314
CuAgTe0.5Se0.5,349,143.09,9689,0.463,0.15
Cu1.85Se,502,32.99,348077,3.939,0.048
Ag2.0Se0.5Te0.5,345,-97.84,65000,0.66,0.325
FeNb0.96Ti0.04Sb,500,206,113000,10.31,0.233
ZrNiPb0.9Sn0.8Bi0.02,771,-181,133120,5.626,0.598
Ca0.15BaGd1.85NiO5,1179,205.88,500.47,1.601,0.016
Cu1.99In0.01Se,473,130,55405,0.9,0.5
Ag0.97Cr0.95Bi0.05Se2,753,188.35,6601,0.465,0.38
Cu7P(S0.25Se0.75)6,523,221.4,4670,0.312,0.384
Co0.99Ni0.01GeTe,327,-115.11,57181,6.955,0.036
(SnTe)15Sb2Te3,623,131.03,124937,2.39,0.559
(Sn0.8Ge0.2)0.85Mn0.15Te,373,67.7,179000,1.975,0.157
Ca5In1.9Zn0.1Sb6,422,144,20460,1.108,0.15
In0.005Pb0.995Te0.998I0.002,378,-222,33594,1.644,0.382
Cu2.025Cd0.975SnSe4,700,204.2,6259,0.75,0.244
Li0.03Cu1.81Bi0.04Se,401,53.75,68966,1.42,0.056
TaFeSb,970,117.86,5817,4.457,0.018
(SnTe)0.86(CuSbTe2)0.14,524,84.3,161100,2.81,0.213
Cu3Sb0.98Ge0.02S4,323,192,22857,3.428,0.079
Ge0.9Mn0.05Sb0.05Te,298,75.5,162900,2.941,0.094
CuGa0.99Mn0.01Te2,868,231,29304,1.645,0.83
Ge0.98Mn0.02Te,498,72.9,273196,4,0.181
Cr1.99Mn0.01Ge2Te6,515,332,2734.38,0.716,0.217
Li1.1Co0.85Ni0.15O2,923,298,483.69,1.607,0.025
(PbTe)(MnTe)0.03,623,-255.26,25379,1.16,0.888
AgBi0.9Sb0.1Se2,525,429.69,362.6,0.419,0.071
(Sn0.8Ge0.2)0.94Mn0.06Te,773,127.2,113830,2.053,0.693
Mg3.07Sb1.5Bi0.48Se0.02,600,-298.48,12053,0.671,0.96
Ag0.01Cr1.99Se3,725,159.29,22786,1.75,0.24
Cu3Sb0.85Ge0.15S4,573,184.3,31350,1.178,0.518
Cu3.0SbSe4,348,498,2302,2.15,0.092
Ag2Se0.98,307,-131,143400,1.074,0.711
Sn0.99Ce0.01Te,723,123,107600,2.6,0.453
Li1.01Co0.85Ni0.15O2,323,244.5,0.04,0.316,0
Eu(Zn0.7Cd0.3)2Sb2,600,214.8,33333,1.16,0.795
Sr0.21Co4Sb12.25,400,-147,195454,4.29,0.394
Mg3Sb1.9Bi0.1,750,366.2,1888,0.6,0.327
Cu1.99S0.5Se0.5,300,153.94,3564,0.413,0.061
Ag2.0Se0.9Te0.1,390,-132,111376,0.944,0.802
BaGd2NiO5,750,427.2,20.95,1.656,0.002
AgSb0.99Mn0.01Te2,341,85.57,49067,0.963,0.127
FeNb0.88Ti0.12Sb,300,103,430000,11.3,0.121
Ca0.25BaGd1.75NiO5,687,155.15,212.3,1.327,0.003
Cu2Se,374,42.57,320270,2,0.109
CrO0.09N0.9,150,-45.2,24147,4.194,0.002
Nd2.86Te4,373,-42,151400,2.066,0.048
Ba0.97K0.03Zn2As2,723,101.85,58182,2.093,0.208
Ca1.58Yb3.42Al2Sb6,610,46.69,21964,3.442,0.008
Sn0.96Pb0.01Cd0.035Se,573,390.67,2698,0.415,0.569
K0.975Ba0.025GaSb4,324,-134.7,23542,1.125,0.123
